Text,Biased
"aipac should be registered as a foreign agent meddling in us electionsamerican israel political action committee

it is interfering in the us electoral process and should be put on trial and its leaders imprisoned  benshapiro charliekirk httpstcoeboipuah",antisemitic
rt qissrkid go to israel pls  we dont need you,antisemitic
the world including canada has given israel a green light to take palestinian land destroy palestinian homes and strengthen a system of apartheid shame on us,antisemitic
"these children avoid walking over the us amp israel flags supposedly this is a generation which was taught to hate america amp israel but it is the opposite
iranians seek freedom peace amp a dignified life unlike the oppressive iranian regime
why is the media pro iran regime httpstcoymztjlfy",non-antisemitic
rt idf the last  hours in israel httpstcoynwvmsyvl,non-antisemitic
stranahan knowmorenews isnt confident enough to debate me that jesuits control israel not jews httpstcoraffekoslo,non-antisemitic
[even] an heritage unto israel his servant for his mercy [endureth] for ever ~psalms  bible poetry god,non-antisemitic
"opinion no one in israel knew they were committing a massacre and they didnt care

gideon levy
httpstcoitgocute",non-antisemitic
httpstcoltbzidzm when thecloudofgod appeared in the days of moses  he took the children of israel from egypt to the canaan through tremendous judgement of the egyptians god is coming back to judge sin again,non-antisemitic
smokers appear to be at higher risk from coronavirus  expert | the times of israel httpstcohgkqmcjr,non-antisemitic
"rt sebgorka so ilhanmn hates israel and defends iran 

   now do you understand",non-antisemitic
"the danish bible society has removed dozens of references to israel from translations of the hebrew bible and the new testament

no one can rewrite history and delete israel from history israel is here yo stay whether they like it or not httpstcoaeuxpaeuu",non-antisemitic
cbs news how jewish american pedophiles hide from justice in israel httpstcozkysakti httpstconfgrgkzb,non-antisemitic
"the democrat party reached a new low in a vicious attack against israel that was full of lies rep rashida tlaib actually wore the jihad war scarf keffiyeh on the floor of the house of representatives 

is this is being reported by our nonbiased media  httpstcojmbwtbcg",non-antisemitic
"bismofunyunsss jlineberry berniesanders how did mose knew to arrange the children of israel in the form of a cross in numbers  

also 

and moses made a serpent of brass and put it upon a pole and it came to pass that if a serpent had bitten any man when he beheld the serpent of brass he lived
numbers  kjv httpstcorvrxjifbv",non-antisemitic
joann jb sexcounseling robertrlocklea dbongino mittromney lisamurkowski senatorcollins israel has been destroying palestinians and stealing their land for decades the usa is drilling oil in palestine thats theft they are invading another countryremember poland,antisemitic
stunning how gratuitously and galactically stupid sanders attack on aipac israel defense of castro are whats the point satisfying his base ideological conviction either way shape of things to come httpstcokssucqtdw,non-antisemitic
frankpercival yorkshirelady leave my timeline you�re a marxist and anti israel,non-antisemitic
